casts,popularity,imdb_avgRating
Aaron Abrams,1.481,6.6000000000000005
Aaron Aedy,0.98,7.7
Aaron Aguilera,1.4,7.8
Aaron Allen,0.694,5.2
Aaron Arens,0.6,5.5
Aaron Ashmore,2.529,6.475
Aaron Aziz,1.388,5.1
Aaron Behr,0.84,5.3
Aaron Berg,1.083,5.25
Aaron Blabey,0.647,5.75
Aaron Blakely,1.4,6.1
Aaron Bloomfield,0.6,5.5
Aaron Boucher,0.6,5.0
Aaron Boyum,0.6,6.2
Aaron Brumfield,0.6,4.2
Aaron Bruno,0.6,4.8
Aaron Carter,0.652,4.3
Aaron Chaplin,0.6,
Aaron Cini,0.6,4.9
Aaron Courteau,0.63,2.5
Aaron Crownover,0.6,7.2
Aaron D. Spears,0.6,6.066666666666666
Aaron D. Taylor,0.6,7.1
Aaron Douglas,1.746,5.5
Aaron Dragushan,0.6,6.2
Aaron Duffey,0.6,5.9
Aaron Eckhart,6.979000000000001,6.457142857142857
Aaron Edge,0.6,6.6
Aaron Elekes,0.6,7.0
Aaron Favor,0.6,3.3
Aaron Fiore,0.6,1.4
Aaron Freeman,0.6,5.7
Aaron G. Chayrez,0.6,4.1
Aaron Gaffey,1.22,5.125
Aaron Garrett,0.6,2.9
Aaron Glenane,0.753,7.2
Aaron Gomez,0.6,6.2
Aaron Grady,0.6,5.5
Aaron Grey,0.6,7.2
Aaron Groben,1.72,5.45
Aaron Grunfeld,0.6,6.1
Aaron Hendry,1.27,3.2
Aaron Hildebrand,0.6,6.6
Aaron Himelstein,1.4,5.0
Aaron Jackson,0.614,5.833333333333333
Aaron Junatas,0.6,7.6
Aaron K. Carter,0.6,6.9
Aaron Kao,0.6,6.6
Aaron King,0.6,7.4
Aaron Kwok,4.0249999999999995,6.066666666666666
Aaron Lamprey,0.6,6.3
Aaron Laue,0.6,3.9
Aaron Letrick,0.6,6.7
Aaron Lohr,0.985,5.2
Aaron Long,0.6,
Aaron McPherson,0.6,4.0
Aaron Michael Metchik,0.6,6.0
Aaron Miller,0.98,7.5
Aaron Murphy,1.38,5.5
Aaron Nee,0.6,6.2
Aaron Neville,1.539,7.2
Aaron Orr,0.84,5.6
Aaron Paul,4.772999999999999,5.675
Aaron Pearl,1.3,4.9
Aaron Pedersen,1.694,5.6
Aaron Perilo,1.4,5.5
Aaron Pierre,1.428,
Aaron Poole,2.744,5.449999999999999
Aaron Raabe,0.6,6.3
Aaron Renning,0.6,6.3
Aaron Rhames,0.605,5.6
Aaron Riggs,0.6,6.3
Aaron Rivera,0.6,5.9
Aaron Ruell,0.6,6.15
Aaron Russo,1.38,7.9
Aaron Scully,1.4,4.55
Aaron Sherry,0.6,4.0
Aaron Sims,0.6,4.0
Aaron Smolinski,0.84,4.1
Aaron Stanford,2.584,6.207692307692308
Aaron Star,0.6,5.3
Aaron Staton,1.5729999999999997,5.866666666666667
Aaron Stephens,0.6,6.8
Aaron Stielstra,1.052,3.8
Aaron Swartz,0.694,6.5
Aaron Takahashi,1.094,7.0
Aaron Talbot,0.6,7.9
Aaron Taylor-Johnson,10.075,6.5555555555555545
Aaron Tveit,1.453,6.7
Aaron Vanek,0.6,7.0
Aaron Vodovoz,0.6,7.8
Aaron Waiton,0.6,5.4
Aaron Ward,0.6,5.7
Aaron Webber,0.6,5.8
Aaron Yoo,3.016,6.5375000000000005
Aarre Stenholm,0.6,6.5
Aarthi,0.732,7.1
Aarthi Agarwal,1.5459999999999996,5.675000000000001
Aarti Chabria,0.6,4.066666666666667
Aaryan Menghji,0.6,7.3
Aarón Arellano,1.094,6.0
Aarón Díaz,1.4,4.4
Aarón Herzai,0.6,8.1
Aasha Marnad,0.6,7.8
Aasheekaa Bathija,0.6,7.1
Aashif Sheikh,0.8400000000000001,4.8
Aashir Wajahat,0.98,3.5
Aashish Chaudhary,1.048,4.325
Aasif Mandvi,2.296,5.858333333333333
Aathma Patrick,1.274,5.9
Aatos Luukinen,0.6,6.3
Aba Rash,0.6,7.1
Abad Hinojosa,0.6,6.2
Abah Yusef,0.6,6.4
Abam Bocey,0.828,
Abayomi de Oliveira,0.6,4.9
Abba Elfman,0.6,3.2
Abbas,0.694,5.557142857142857
Abbas Aboelhassan,0.6,6.3
Abbas Esfandiari,0.6,7.3
Abbas Kiarostami,2.741,7.3
Abbas Rahimi,0.6,7.8
Abbes Zahmani,1.421,5.55
Abbey Hoes,0.828,6.0
Abbey Lee,6.455,6.6
Abbey Stirling,0.6,4.7
Abbie Cobb,1.508,4.4
Abbie Cornish,9.436000000000002,6.25
Abbie Spallen,0.6,7.1
Abbie Steele,1.4,4.5
Abbie Styffe,0.6,7.2
Abby Abadi,3.5819999999999994,5.066666666666666
Abby Awe,1.4,4.6
Abby Brammell,1.59,4.8
Abby Epstein,0.694,7.4
Abby Joy,0.6,
Abby Knoettgen,0.6,7.7
Abby MacAllister,0.694,5.7
Abby Marment,0.6,6.7
Abby Simmons,0.6,4.5
Abby Wathen,2.225,6.9
Abdalah Mishrif,0.6,5.720000000000001
Abdel Benrahou,0.6,6.0
Abdel Ghany Naser,0.6,7.4
Abdel Halis,0.6,6.3
Abdel Rahman Abou Zahra,1.4,6.0
Abdel-Aziz Essayed,0.6,2.3
Abdelati Lambarki,0.6,6.2
Abdelaziz Taleb,0.6,6.6
Abdelbacet Benkhalifa,0.6,6.4
Abdelghani Kitab,0.6,6.4
Abdelhafid Metalsi,1.9195555555555555,6.555555555555555
Abdelhak Zhayra,0.6,7.3
Abdelkader Belkhodja,0.6,5.8
Abdelkader Belmokadem,0.6,6.9
Abdelkader Moutaa,0.6,6.5
Abdelkrim Beriber,0.6,6.4
Abdellah Chicha,0.6,6.2
Abdellah Didane,0.6,7.050000000000001
Abdellah Taïa,0.6,6.5
Abdellatif Chaarani,0.6,7.3
Abdellatif Kechiche,1.4,6.65
Abdelrahman,0.6,6.1
Abdelsselem ben Amar,0.6,7.4
Abderamane Abakar,0.6,6.9
Abderrahmane Benhamida,0.6,7.2
Abderrahmane Sissako,1.528,6.7
Abderrazak El Badaoui,0.6,7.5
Abdessamad Boutriq,0.6,7.0
Abdessamed Miftah El Kheir,0.6,7.5
Abdesslam Begdouri,0.6,8.5
Abdol Rahman Karim,0.6,8.1
Abdolali Homayoon,0.828,4.0
Abdolali Huseinali,0.6,7.3
Abdolgani Yousefrazi,0.6,6.9
Abdou Balde,0.6,6.7
Abdoulaye Ahmat,0.6,6.8
Abdoulaye Alain Traoré,0.6,
Abdoulaye Gnagna N'Diaye,0.656,6.0
Abdoulaye Komboudri,0.6,6.6
Abdul Alshareef,0.728,
Abdul Emam Abdullah,0.6,
Abdul Ghani,0.6,7.7
Abdul Mohsen al-Qaffas,0.6,
Abdul Momin Chowdhury,0.6,7.5
Abdul Salis,0.84,6.75
Abdul Wahed Hasanzada,0.6,7.8
Abdulla Al Hemairi,0.6,3.2
Abdulla Malik,0.6,7.1
Abdulla Meshref,0.6,6.1
Abdulla Wlaad,0.6,7.1
Abdullah Al Jinebi,0.6,
Abdullah Al-Talihi,0.6,
Abdullah Al-Tarawah,0.6,
Abdullah Alramsi,0.6,3.2
Abdullah Hasan Ahmed,0.6,
Abdullah Ibrahim,0.6,8.5
Abdullah Miniawy,0.6,5.9
Abe Dyer,0.6,3.0
Abe Forsythe,0.766,6.4
Abe Kwong,0.6,5.4
Abe Vigoda,2.541,4.5
Abeer Sabry,0.6,5.6
Abel Alves,1.214,5.9
Abel Ayala,0.6,6.1000000000000005
Abel Becerra,1.094,5.3
Abel Divol,0.6,5.0
Abel Ferrara,1.4,6.0
Abel Folk,2.2890000000000006,5.873333333333334
Abel Jafri,0.6,5.8
Abel Napuran,0.6,5.6
Abel Nienhuis,0.98,6.8
Abel Woolrich,0.84,6.5
Abel Zamora,0.6,2.6
Abelaziz Essghyr,0.6,7.5
Aberaam Varma,0.6,6.6
Abha Dhulia,0.6,6.2
Abha Parmar,0.6,6.7
Abhanish Bandopadhyay,0.6,7.2
Abhay Adaka,0.6,6.7
Abhay Bethiganti,0.6,6.9
Abhay Bhargava,0.6,7.6
Abhay Chopra,0.6,6.7
Abhay Deol,1.8384285714285717,6.8999999999999995
Abhijeet Bagalkote,0.6,5.4
Abhijeet Chavan,0.6,3.2
Abhijit Acharjee,0.6,4.6
Abhijit Amkar,0.6,6.0
Abhijit Lahiri,0.828,6.1
Abhimanyu Singh,0.8059999999999999,6.433333333333333
Abhin Galeya,0.648,6.1
Abhinav Gomatam,0.6,6.2
Abhinav Jha,0.6,7.8
Abhinay,1.171,3.2
Abhinay Berde,0.6,3.2
Abhinaya Sri,0.828,7.8
Abhirami Gopikumar,0.6,6.6000000000000005
Abhishek,0.6,5.0
Abhishek Bachchan,1.5940000000000007,5.412195121951218
Abhishek Banerjee,0.794,
Abhishek Chauhan,0.6,7.2
Abhishek Kapoor,1.176,3.4
Abhishek Sharma,0.608,4.2
Abhishek Vinod,0.6,3.7
Abhishek soni,0.6,
Abhishekananda Singh Birla,0.6,4.8
Abhishekh Chatterjee,0.6,7.2
Abi Casson Thompson,0.728,4.75
Abi Tucker,2.331,6.0
Abid Ali,0.6,5.2
Abid Khan,0.6,6.7
Abigail Bianca,1.4,4.1
Abigail Breslin,4.920000000000001,6.385714285714285
Abigail Canton,2.744,5.4
Abigail Chu,0.652,5.7
Abigail Cowen,12.074,
Abigail Cruttenden,2.955,6.4
Abigail Good,0.6,5.2
Abigail Gudgeon,0.6,5.5
Abigail Hailey,0.6,3.3
Abigail Hawk,1.257,6.6
Abigail Hollick,0.6,5.1
Abigail Iversen,0.6,6.0
Abigail Mason,1.4,6.1
Abigail McGibbon,0.6,6.6
Abigail Mendoza,0.6,
Abigail Molina,0.6,7.8
Abigail Morgan,0.6,3.8
Abigail Reed,0.6,5.9
Abigail Richie,0.6,2.4
Abigail Rosen,0.6,5.6
Abigail Spencer,4.928,4.62
Abigail Stone,0.6,5.4
Abigail Tarttelin,0.6,5.5
Abigale Mittel,0.6,6.2
Abimana Aryasatya,2.219,2.2
Abir Chatterjee,0.98,5.65
Abián Vainstein,0.6,6.0
Abla Kamel,2.304,5.1
Abla Khoury,0.6,6.8
Abner Afuang,1.38,
Abner Genece,0.6,5.0
Abon,0.6,3.8
Abou Moez El Fazaa,0.6,6.7
Aboubacar Sadikh Ba,0.828,6.2
Abraham Aguilar,0.6,5.3
Abraham Alvarez,1.4,5.9
Abraham Amkpa,0.6,7.1
Abraham Belaga,2.226,5.6
Abraham Benrubi,1.8790000000000002,5.8
Abraham Boyd,0.98,5.6
Abraham Cooper,0.6,6.7
Abraham Ramos,0.6,5.2
Abraham Ulayuruluk,0.828,6.9
Abrahão Farc,0.6,6.266666666666667
Abram Hoffer,0.6,7.3
Abril Schreiber,1.05,4.7
Abril Zamora,11.624,6.8
Absamat Uulu Nurseit,0.6,7.1
Abu Aldanish,0.6,6.9
Abu Bakar,0.6,6.5
Abu George Shibli,0.6,7.3
Abu Majid,0.6,7.3
Abu Salim,0.6,4.05
Abubakar Hussain,1.4,6.3
Abubakar Yakubu,0.6,
Abul Hayat,0.6,8.3
Accapan,1.22,6.7
Ace Aenlle Cruz,0.6,
Ace Bhatti,1.935,6.6
Ace Cruz,0.6,4.733333333333333
Ace Espinosa,0.6,5.95
Acha Septriasa,1.14,6.5
Achiles Francisco Varas dell'Aquila,0.6,6.6
Achille Brugnini,0.84,5.35
Achille Sidoti,0.6,
Achille Trocellier,0.6,7.0
Achim Bergmann,0.6,7.8
Achim Buchner,0.6,5.1
Achim von Paczensky,0.6,7.1
Achint Kaur,1.476,5.45
Achintya Bose,0.6,7.6
Achita Sikamana,1.9600000000000004,6.328571428571428
Achmad Megantara,0.6,6.0
Achmed Akkabi,2.066,6.1
Achyut Potdar,0.6,4.2
Achyuth,1.4,6.15
Achyuth Kumar,0.694,7.5
Ackarat Nitipol,0.6,6.25
Ackeem Gibbs,0.6,8.0
Aco Pérez,0.6,5.7
Ad van Kempen,1.094,6.2
Ada Choi,0.733,6.2
Ada Falcón,0.6,7.4
Ada Labahn,0.6,6.6
Ada Michelle Loridans,1.549,6.6
Ada Philine Stappenbeck,2.548,5.8
Ada Rogovtseva,0.6,6.8
Ada Tai,0.84,6.4
Adah Sharma,0.631,6.9
Adair Palácio,0.6,7.2
Adair Tishler,1.242,5.4
Adal Ramones,0.6,4.3
Adalberto Jr.,0.6,6.9
Adam,0.6,7.9
Adam Allfrey,0.84,5.6
Adam Amara,0.6,5.2
Adam Anderson,0.98,7.4
Adam Arkin,1.51,6.6
Adam Baldwin,2.9129999999999994,5.057142857142857
Adam Baratta,0.6,4.1
Adam Bartley,1.351,4.7
Adam Bauman,0.6,6.7
Adam Baumann,0.6,7.0
Adam Beach,4.982,5.59
Adam Berardi,1.214,
Adam Biesk,1.62,4.4
Adam Bitterman,0.6,5.7
Adam Bolton,0.6,6.7
Adam Boor,0.6,7.6
Adam Boose,0.6,6.9
Adam Bousdoukos,0.6,7.0
Adam Brix,1.094,5.3
Adam Brody,1.655,5.45
Adam Brooks,2.2885,6.3
Adam Buller,0.6,4.2
Adam Burch,0.6,4.3
Adam Burns,0.6,2.7
Adam Busch,1.314,6.1
Adam Butcher,1.276,7.4
Adam Buxton,1.96,6.35
Adam Campbell,1.943,4.199999999999999
Adam Cardon,0.6,3.2
Adam Carolla,1.252,7.2
Adam Chambers,1.96,3.0
Adam Chapman,0.6,3.4
Adam Chubbuck,0.84,5.9
Adam Clayton,0.6,8.3
Adam Corey,0.6,8.0
Adam Croasdell,1.38,5.4
Adam Davies,0.6,6.2
Adam Deacon,1.237,6.749999999999999
Adam Del Rio,0.6,5.0
Adam Devine,2.586,4.366666666666667
Adam Donshik,0.6,6.2
Adam Driver,6.81,7.25
Adam Echahly,0.6,6.4
Adam Elshar,0.6,2.4
Adam Ferency,0.8040000000000002,5.457142857142856
Adam Fergus,0.84,7.3
Adam Ferrara,1.558,5.55
Adam Fielitz,0.6,7.4
Adam Fletcher,0.6,2.4
Adam Fogerty,1.4,5.775
Adam Fristoe,1.932,4.5
Adam G. Sevani,3.797,6.2
Adam Garcia,1.505,5.32
Adam Gardiner,0.84,5.85
Adam Gates,0.828,6.9
Adam Gierasch,1.048,4.699999999999999
Adam Gilbert Jespersen,0.694,5.550000000000001
Adam Godley,2.376,6.619999999999999
Adam Goldberg,2.366,6.206666666666666
Adam Goodes,0.6,7.8
Adam Greaves-Neal,1.318,5.6
Adam Green,1.828,4.65
Adam Greer,0.6,5.75
Adam Gregor,1.96,6.966666666666666
Adam Gregory,0.6,3.7
Adam Grimes,0.694,3.7
Adam Haar,0.6,4.6
Adam Hale,0.6,1.7
Adam Halferty,0.6,
Adam Hicks,0.714,5.5
Adam Hirsch,0.6,5.8
Adam Holý,0.6,
Adam Horovitz,0.84,7.5
Adam Horvath,0.98,6.9
Adam Huss,1.312,3.85
Adam Idrissa,0.6,6.8
Adam J. Harrington,1.418,6.050000000000001
Adam J. Smith,0.6,3.7
Adam J. Yeend,1.4,7.5
Adam Jacobo,0.6,7.7
Adam Jagwani,0.84,7.0
Adam James,1.929,5.1
Adam Jay Epstein,0.98,7.3
Adam Johnson,1.2,5.575000000000001
Adam Kamień,0.6,2.7
Adam Karim,0.652,7.3
Adam Kaufman,1.332,4.949999999999999
Adam Kelley,0.6,6.1
Adam Kellim,0.6,7.2
Adam Končić,0.6,6.9
Adam Kotz,1.805,6.866666666666667
Adam Koury,0.6,7.2
Adam Kulbersh,1.699,1.9
Adam LaVorgna,1.052,5.1
Adam Lamberg,1.4,6.9
Adam Lambert,3.112,5.5
Adam Landers Berkowitz,0.6,5.8
Adam Lannon,0.6,3.9
Adam Lazarre-White,1.442,6.6
Adam LeClair,0.6,5.5
Adam LeFevre,1.1370000000000002,6.166666666666668
Adam Leadbeater,0.6,3.8
Adam Leese,0.6,5.1
Adam Lockhart,0.6,5.7
Adam Lorenzo,0.6,4.3
Adam Lowenstein,0.6,7.3
Adam Lundgren,4.449,5.425000000000001
Adam MacDonald,0.6,3.7
Adam Mayfield,1.62,2.6
Adam Meir,0.6,2.9
Adam Meredith,0.6,5.7
Adam Miller,0.6,2.8
Adam Minarovich,0.6,3.1
Adam Morgan,0.6,5.2
Adam Morris,0.6,5.4
Adam Mucci,2.823,6.15
Adam Mwambile,0.6,7.1
Adam Nagaitis,1.96,5.6
Adam Napolitan,0.6,6.5
Adam Nayman,0.6,6.7
Adam Neal Smith,0.6,6.6
Adam Nee,0.995,5.466666666666666
Adam Nelson,0.6,6.5
Adam Newey,0.6,3.6
Adam Ondra,0.98,7.3
Adam Pally,3.224,5.45
Adam Pascal,0.6,5.3
Adam Paul,0.98,7.2
Adam Paul Harvey,1.22,6.9
Adam Pitman,0.6,3.8
Adam Placente,0.656,4.7
Adam Plotch,0.6,4.7
Adam Powell,0.6,5.5
Adam Puslojic,0.6,6.5
Adam Pålsson,2.514,4.699999999999999
Adam Quintero,0.6,6.0
Adam Rayner,2.333,4.949999999999999
Adam Rodness,0.694,8.3
Adam Rodríguez,2.422,5.9799999999999995
Adam Rose,1.176,7.3
Adam Ross,0.6,4.3
Adam Rothenberg,1.62,5.5
Adam Ryan,0.6,6.8
Adam Saini,0.6,4.8
Adam Salvia,0.6,6.3
Adam Sandler,10.209000000000001,5.828571428571429
Adam Savage,0.642,5.0
Adam Scarimbolo,0.6,5.0
Adam Schneider,0.828,5.6
Adam Scott,1.628,5.655555555555555
Adam Scott Clevenger,0.6,6.9
Adam Seybold,0.6,4.3
Adam Shankman,2.25,6.5
Adam Shapiro,2.503,7.2
Adam Shaw,0.6,6.7
Adam Shell,0.6,6.4
Adam Shipley,0.98,6.5
Adam Sidman,0.6,5.2
Adam Simon,0.6,4.9
Adam Sinclair,1.96,7.0
Adam Sterling,0.6,6.7
Adam Szyszkowski,0.828,6.4
Adam Taylor Gordon,0.6,4.6
Adam Tomei,0.694,5.6
Adam Trese,1.413,5.575
Adam Vernier,0.656,5.15
Adam Vincent,0.6,2.8
Adam Weiner,0.828,4.5
Adam Weisman,1.38,5.3
Adam Wekarski,0.6,6.3
Adam Weppler,0.98,4.6
Adam West,2.691,4.9
Adam Western,0.6,5.1
Adam White,1.38,6.7
Adam Woronowicz,0.946,6.25
Adam Wylie,1.4,4.4799999999999995
Adam Yauch,0.677,7.5
Adam Zastrow,0.84,4.3
Adam Zucker,0.6,7.6
Adam the Retard,0.6,
Adama Bila,0.694,7.5
Adama Doumbia,0.6,7.2
Adama Koné,0.6,8.5
Adama Kouyaté,0.6,7.0
Adama Ouédraogo,0.6,6.949999999999999
Adamie Quasiak Inukpuk,0.6,6.4
Adamo Dionisi,2.613,5.2
Adamo Palladino,0.996,4.5
Adams Mensah,0.6,4.9
Adaora udeh,0.6,
Adarsh Sanjeeva,0.6,4.6
Adarsha Benjamin,0.6,4.4
Adaya Monique Henry,0.6,8.0
Addie Land,0.6,4.9
Addie Yungmee,1.62,6.3
Addison Gosselin,0.6,5.3
Addison Henderson,0.6,
Addison Kendall,0.6,
Addison Timlin,9.523,6.6
Addy Raj,0.98,5.5
Ade Dimberline,0.6,2.4
Ade Firman Hakim,0.6,5.300000000000001
Ade Habibie,0.6,7.1
Ade Irawan,0.6,6.3
Adedamola Adelaja,0.6,5.8
Adel Al Far,0.6,4.6
Adel Bencherif,0.6,6.3
Adel Emam,1.609,6.16
Adel Karam,1.4,7.1
Adel L. Morales,0.6,5.3
Adela García,0.6,
Adela Martínez,0.6,
Adela Peeva,0.6,7.9
Adela Secall,0.6,5.8
Adelaide Aste,0.828,5.05
Adelaide Brava,0.6,4.2
Adelaide Clemens,2.919,5.0
Adelaide João,0.6,6.0
Adelaide Shabalala,0.6,7.1
Adelaide Teixeira,0.6,6.15
Adelaide de Sousa,0.6,6.525
Adele Crotty,1.38,4.8
Adele Ferruzzi,0.98,5.4
Adele Neuhauser,2.62,5.949999999999999
Adelfa Calvo,0.742,6.0
Adelina de Alayes,0.6,
Adeline Ishiomin,0.6,5.6
Adelino Tavares,0.6,6.2
Adem Keleş,0.6,
Ademilde Fonseca,0.656,7.4
Ademola Adedoyin,0.6,
Aden Gillett,1.116,6.9
Aden Young,1.346,6.516666666666667
Adepero Oduye,4.481,7.050000000000001
Ades Zabel,0.9800000000000001,5.2
Adesh Bharadwaj,0.6,5.8
Adesua Etomi,0.6,5.3
Adesua Etomi-Wellington,0.6,5.65
Adesuwa Addy Iyare,0.98,6.8
Adetoro Makinde,0.6,6.8
Adewale Akinnuoye-Agbaje,2.8470000000000004,5.757142857142858
Adeysha Garrido Morales,0.6,6.1
Adeyto,0.84,5.85
Adgur Maliya,0.6,4.4
Adhik Ravichandran,0.6,6.1
Adhisty Zara,1.761,7.35
Adhithya Shivpink,0.6,6.2
Adhitya Putri,0.6,6.0
Adhvik Mahajan,0.6,2.3
Adhvithi Shetty,0.6,9.1
Adi Ezroni,0.764,5.7
Adi Handac,1.4,4.8
Adi Himelbloy,1.428,6.1
Adi Irani,1.614,3.5999999999999996
Adi Karailo,0.6,4.8
Adi Kurdi,0.828,7.1
Adi Putra,0.98,6.7
Adi Shankar,1.4,2.5
Adia Chan,1.4,5.4
Adibah Noor,0.98,7.0
Adibah Yunus,1.11,6.2
Adiel Stein,0.6,6.5
Adil Abdolrahman,0.6,7.1
Adil Hussain,1.252,7.8
Adil Ray,1.932,5.4
Adil Turkbenbayev,0.6,5.9
Adila Fitri,1.166,4.6
Adilla Dimitri,0.6,6.2
Adilson Magah,0.6,5.1
Adin Jasarevic,0.6,4.6
Adina Cartianu,0.98,5.0
Adina Cristescu,0.828,7.9
Adina Galupa,1.009,4.3
Adina Porter,3.833,5.2
Adinda Thomas,0.84,8.1
Adinia Wirasti,1.276,7.12
Adipati Dolken,0.665,5.05
Adipura,0.6,6.3
Adir Miller,1.38,7.0
Adirek Wattaleela,0.6,5.8
Adisorn Insee,0.6,5.5
Adisorn Tonawanik,0.6,7.3
Adisorn Trisirikasem,0.716,6.4
Adithya Menon,1.2200000000000002,4.700000000000001
Aditi Bhatia,0.6,4.3
Aditi Deshpande,0.6,7.9
Aditi Gowitrikar,0.98,3.3000000000000003
Aditi Prabhudeva,1.38,5.300000000000001
Aditi Rao Hydari,1.473,5.625
Aditi Sharma,2.86,5.1
Aditya,0.6,
Aditya Herpavi Rachman,0.6,5.6
Aditya Lakhia,0.6,7.15
Aditya Pancholi,0.694,5.133333333333334
Aditya Ralkar,0.6,3.6
Aditya Rino,0.6,6.2
Aditya Roy Kapur,1.932,5.3
Aditya Seal,0.6,2.9
Aditya Siddhu,0.6,4.9
Aditya Srivastava,0.98,7.625
Adivi Sesh,0.989,8.2
Adja Diarra,0.6,6.8
Adjetey Anang,0.6,5.4
Adjie Pangestu,0.6,6.3
Adjoa Andoh,3.324,7.3
Adlin Aman Ramlie,1.102,6.357142857142857
Adlu Fahrezy,0.6,4.8
Admir Glamočak,0.6,6.325
Admir Šehović,0.6,7.6
Admiral T.,0.6,4.8
Adnan Akmal,0.6,7.1
Adnan Devran,0.6,
Adnan Khashoggi,0.6,6.8
Adnan Koç,0.6,5.6
Adnan Köse,0.98,7.1
Adnan Maral,1.251,5.866666666666667
Adnan Omerović,1.138,7.35
Adnan Pilav,0.6,6.8
Adnan Sajid Khan,0.6,5.2
Adnan Shah Tipu,0.677,6.416666666666667
Adnan Siddiqui,1.388,6.6
Adnan Tarabshi,0.98,6.550000000000001
Adnan Zorlak,0.6,4.4
Adnen Helali,0.6,3.6
Adolf Doft,0.6,6.3
Adolf Hitler,5.625,7.425
Adolfas Mekas,0.652,8.4
Adolfo Chuiman,0.6,3.8
Adolfo Fenoglio,0.6,4.5
Adolfo Fernández,0.9800000000000003,5.90909090909091
Adolfo Luxúria Canibal,0.6,8.7
Adolfo Margiotta,0.98,6.45
Adolfo Moura,0.6,6.6
Adolfo Ramírez,0.6,
Adolfo Stambulsky,0.6,4.9
Adolph Davis,0.6,7.1
Adolphe Münstermann,0.6,
Adomaa,0.6,6.4
Adomas Stančikas,1.4,7.25
Adoni Maropis,1.708,4.3999999999999995
Adonis Boyd,0.6,5.2
Adrasto Bonarini,0.6,5.3
Adri Valery Wens,1.4,6.2
Adria Arjona,6.796,6.1
Adria Dawn,1.614,4.4
Adria Tennor,1.448,5.8
Adriaan Adriaanse,0.6,4.4
